职位,公司,薪资,地区,经验,学历,公司规模,行业,福利标签,技能标签,职位描述,抓取时间,使用的Cookie索引,薪资_月平均K,经验要求,学历要求,公司规模_数值,技能标签列表,福利标签列表,薪资_最低K,薪资_最高K
机器学习工程师SH（实习） (MJ000425),广立微,270-330元/天,上海,,学历不限,500-999人,半导体/芯片,"股票期权,高温补贴,生日福利,零食下午茶,生日福利,团建聚餐,健身设施,员工旅游,餐补,年终奖,五险一金,节日福利,通讯补贴,补充医疗保险,带薪年假,定期体检,高温补贴","参加算法相关竞赛/获奖,Python","核心职责：1. 算法研发与优化： 负责项目中机器学习算法的理论研究、模型设计与开发。参与算法选型、工程实现、模型训练、调优及性能优化。2. 模型部署与推理： 负责机器学习模型的部署工作，构建高效、稳定的模型推理系统，并开发相应的接口3. 时序数据监控与异常检测： 对大规模时序数据进行实时监控和分析，构建异常检测模型，及时发现潜在问题并发出预警4. 工业预测建模： 建立关键工艺参数与目标值之间的关联性预测模型。5. 根因分析与定位： 运用机器学习算法和统计方法，对生产中出现的异常或问题进行深入根因分析。任职要求：1. 教育背景： ○ 计算机科学、统计学、电子工程或相关领域本科及以上学历。硕士学历优先考虑。2. 技能要求： ○ 机器学习与时序数据处理： 具备实际的机器学习项目经验，熟悉时序数据处理、分析和建模的相关技术。 ○ 编程与工程能力： 优秀的代码编写能力，扎实的计算机基础（数据结构、算法）。熟练掌握Python编程语言及其相关数据处理库（如NumPy, Pandas, Scikit-learn等）。 ○ 统计学与数据处理： 具备扎实的统计学基础和数据处理能力。 ○ 框架掌握（加分项）： 熟悉至少一种主流机器学习/深度学习框架（如TensorFlow, PyTorch, Keras等）者优先。3. 工作经验（加分项）： ○ 有时间序列分析、预测项目（尤其是在工业场景下）的实际参与经验者优先。 ○ 了解工业控制流程或半导体制造行业知识者优先。4. 个人素质： ○ 优秀的逻辑思维能力和问题解决能力，能够独立分析和解决复杂技术挑战。 ○ 出色的沟通协作能力，乐于与团队成员分享知识、紧密合作。 ○ 对新技术保持高度热情，具备快速学习能力和自我驱动力，持续追求技术提升。",2025-12-11 21:36:59,79,6.6,经验不限,学历不限,500.0,"['参加算法相关竞赛/获奖', 'Python']","['股票期权', '高温补贴', '生日福利', '零食下午茶', '生日福利', '团建聚餐', '健身设施', '员工旅游', '餐补', '年终奖', '五险一金', '节日福利', '通讯补贴', '补充医疗保险', '带薪年假', '定期体检', '高温补贴']",,
ai编译leader,某人工智能公司,60-90K,上海,经验不限,学历不限,20-99人,人工智能,"股票期权,定期体检,带薪年假,五险一金,节日福利,年终奖,生日福利","深度学习,大模型算法,C/C++,ai编译器,tvm,mlir",,2025-12-11 21:37:00,79,75.0,经验不限,学历不限,20.0,"['深度学习', '大模型算法', 'C/C++', 'ai编译器', 'tvm', 'mlir']","['股票期权', '定期体检', '带薪年假', '五险一金', '节日福利', '年终奖', '生日福利']",60.0,90.0
数据分析师（校招/上海） (MJ002294),百融云创,15-25K,上海,在校/应届,学历不限,500-999人,大数据,"节日福利,交通补助,餐补,零食下午茶,通讯补贴,股票期权,定期体检,带薪年假,补充医疗保险,五险一金,年终奖",,,2025-12-11 21:37:02,79,20.0,经验不限,学历不限,500.0,[],"['节日福利', '交通补助', '餐补', '零食下午茶', '通讯补贴', '股票期权', '定期体检', '带薪年假', '补充医疗保险', '五险一金', '年终奖']",15.0,25.0
机器人调试工程师,新答尔工业机器人,12-16K,上海,3-5年,高中,100-499人,仪器仪表/工业自动化,"五险一金,加班补助,餐补,补充医疗保险,全勤奖,带薪年假,年终奖,通讯补贴","机器人调试,工艺工程师,自动化",,2025-12-11 21:37:03,79,14.0,3-5年,高中,100.0,"['机器人调试', '工艺工程师', '自动化']","['五险一金', '加班补助', '餐补', '补充医疗保险', '全勤奖', '带薪年假', '年终奖', '通讯补贴']",12.0,16.0
二次元主题咖啡厅兼职,钥转文化,6-8K,上海,在校/应届,学历不限,20-99人,文化艺术/娱乐,,"咖啡厅,二次元,周末兼职,学生兼职,桌游",,2025-12-11 21:37:05,79,7.0,经验不限,学历不限,20.0,"['咖啡厅', '二次元', '周末兼职', '学生兼职', '桌游']",[],6.0,8.0
足浴店长,上海久扬大铭保健服务,9-14K,上海,5-10年,高中,20-99人,保健/养生,"宿舍有空调,包住,包吃,保底工资,绩效奖金","销售经验,包住,不需要出差,善于解决客诉,包吃住,生活服务,管理经验,包吃,需要门店店长经验",,2025-12-11 21:37:07,79,11.5,5-10年,高中,20.0,"['销售经验', '包住', '不需要出差', '善于解决客诉', '包吃住', '生活服务', '管理经验', '包吃', '需要门店店长经验']","['宿舍有空调', '包住', '包吃', '保底工资', '绩效奖金']",9.0,14.0
急招两名服务员包吃住！杨浦门店,上海市闵行区芊味...,5-7K,上海,经验不限,学历不限,20-99人,餐饮,,,,2025-12-11 21:37:08,79,6.0,经验不限,学历不限,20.0,[],[],5.0,7.0
帝伯乐家政招聘收纳师,帝伯乐家政,7-9K,上海,经验不限,学历不限,1000-9999人,家政服务,"意外险,定期体检,加班补助,团建聚餐,节假日加班费,零食下午茶,节日福利,夜班补助,全勤奖,带薪年假,包住,底薪加提成,保底工资,绩效奖金,宿舍有空调,员工旅游,五险一金,生日福利","免费培训,就近分配",,2025-12-11 21:37:09,79,8.0,经验不限,学历不限,1000.0,"['免费培训', '就近分配']","['意外险', '定期体检', '加班补助', '团建聚餐', '节假日加班费', '零食下午茶', '节日福利', '夜班补助', '全勤奖', '带薪年假', '包住', '底薪加提成', '保底工资', '绩效奖金', '宿舍有空调', '员工旅游', '五险一金', '生日福利']",7.0,9.0
浦东山姆夜班理货！八小时8000+ 提供住宿,沃尔玛,5-8K,上海,经验不限,学历不限,100-499人,批发/零售,"节日福利,五险一金,带薪年假,全勤奖,加班补助,年终奖,餐补,定期体检","可预支,夜班,拣货,体力活,有保底,吃住自理",,2025-12-11 21:37:10,79,6.5,经验不限,学历不限,100.0,"['可预支', '夜班', '拣货', '体力活', '有保底', '吃住自理']","['节日福利', '五险一金', '带薪年假', '全勤奖', '加班补助', '年终奖', '餐补', '定期体检']",5.0,8.0
上海汕心餐饮管理招聘店员/营业员,上海汕心餐饮管理,5-7K,上海,经验不限,学历不限,20-99人,餐饮,"带薪年假,五险一金","不需要晚班/夜班,入职满月涨薪资,不需要倒班,国庆三薪,无销售性质,接受无店员经验",,2025-12-11 21:37:12,79,6.0,经验不限,学历不限,20.0,"['不需要晚班/夜班', '入职满月涨薪资', '不需要倒班', '国庆三薪', '无销售性质', '接受无店员经验']","['带薪年假', '五险一金']",5.0,7.0
儿童美发前台（绿地缤纷城店）,河马叔叔,6-8K,上海,1-3年,高中,0-20人,美发,"有无线网,住房补贴,年终奖,带薪年假,员工旅游,绩效奖金,包住,团建聚餐,工龄奖","服务业前台,超市/卖场/零售店,19-22点下班,其他,收银经验,有服务业经验,销售/导购经验,五险",,2025-12-11 21:37:13,79,7.0,1-3年,高中,0.0,"['服务业前台', '超市/卖场/零售店', '19-22点下班', '其他', '收银经验', '有服务业经验', '销售/导购经验', '五险']","['有无线网', '住房补贴', '年终奖', '带薪年假', '员工旅游', '绩效奖金', '包住', '团建聚餐', '工龄奖']",6.0,8.0
销售专员,上海胤骅网络信息工程,8-13K,上海,经验不限,学历不限,0-20人,互联网,,,,2025-12-11 21:37:14,79,10.5,经验不限,学历不限,0.0,[],[],8.0,13.0
青年公寓房屋管家,上海我爱我家房地产,7-12K,上海,经验不限,学历不限,10000人以上,房地产中介/租赁,"员工旅游,节日福利,五险一金,全勤奖,宿舍有空调,年终奖,有无线网,生日福利,免费工装,绿色晋升,股票期权,带薪年假,住房补贴,零食下午茶,定期体检,团建聚餐","就近分配,无经验要求",,2025-12-11 21:37:15,79,9.5,经验不限,学历不限,10000.0,"['就近分配', '无经验要求']","['员工旅游', '节日福利', '五险一金', '全勤奖', '宿舍有空调', '年终奖', '有无线网', '生日福利', '免费工装', '绿色晋升', '股票期权', '带薪年假', '住房补贴', '零食下午茶', '定期体检', '团建聚餐']",7.0,12.0
销售经理+无责11000+超高团队提成,上海六兴地产,50-60K,上海,1-3年,学历不限,500-999人,房地产中介/租赁,"生日福利,带薪年假,零食下午茶,节日福利,员工旅游","个人（To C）,房地产销售经验,房地产",,2025-12-11 21:37:16,79,55.0,1-3年,学历不限,500.0,"['个人（To C）', '房地产销售经验', '房地产']","['生日福利', '带薪年假', '零食下午茶', '节日福利', '员工旅游']",50.0,60.0
