major,education,graduate_number,employment_number,employment_rate,industry
   化学工程与技术,硕士,14,14,100.0,科学研究和技术服务业
 模式识别与智能系统,博士,1,1,100.0,制造业
 模式识别与智能系统,硕士,1,1,100.0,制造业
 汽车服务工程（师范专业）,本科,0,0,0.0,建筑业
 自动化（机器人技术教育方向）,本科,0,0,0.0,制造业
(专业学位)先进制造,博士,2,1,50.0,制造业
24汉语国际教育,硕士,37,25,68.0,教育
MBA 教育中心,硕士,0,0,0.0,教育
⻛景园林设计,整体,86,84,98.0,农、林、牧、渔业
⻝品营养与检测,整体,93,88,95.0,科学研究和技术服务业
⻝品质量与安全,整体,102,98,96.0,其他
⼯程测量技术,整体,70,66,94.0,科学研究和技术服务业
⼯程造价,整体,167,151,90.0,其他
⽔净化与安全技术,整体,65,61,94.0,科学研究和技术服务业
一般力学与力学基础,博士,11,10,91.75,其他
一般力学与力学基础,硕士,28,26,96.7,其他
三弦,本科,5,5,100.0,其他
三弦,硕士,2,2,100.0,其他
上海乐队学院,硕士,2,2,100.0,其他
专化医学,硕士,1,1,100.0,卫生和社会工作
专门史,硕士,54,45,87.22222222222223,其他
世界史,博士,16,14,76.14285714285714,其他
世界史,本科,237,203,86.55555555555556,其他
世界史,硕士,299,246,76.81818181818181,其他
世界经济,博士,14,12,42.857142857142854,金融业
世界经济,硕士,416,400,76.65517241379311,金融业
东方文学,博士,3,3,100.0,教育
东方文学,硕士,2,2,100.0,教育
东方音乐研究,博士,1,1,100.0,文化、体育和娱乐业
东方音乐研究,硕士,2,2,100.0,文化、体育和娱乐业
东盟研究,硕士,11,11,100.0,科学研究和技术服务业
中东研究,博士,1,1,100.0,科学研究和技术服务业
中共党史,博士,6,6,100.0,其他
中共党史,硕士,68,53,59.875,其他
中医临床基 础,硕士,2,2,100.0,卫生和社会工作
中医临床基础,博士,40,40,100.0,卫生和社会工作
中医临床基础,硕士,113,110,94.1,卫生和社会工作
中医临床药学,博士,8,8,100.0,卫生和社会工作
中医临床药学,硕士,30,30,100.0,卫生和社会工作
中医五官科学,博士,1,1,100.0,科学研究和技术服务业
