专业名称,所属行业,学科门类
服装设计与工程,纺织服装、服饰业,工学
服装与服饰设计,纺织服装、服饰业,艺术学
产品设计,制造业,艺术学
工业设计,建筑业,艺术学
高分子材料与工程,制造业,工学
轻化工程,制造业,工学
艺术与科技,文化、体育和娱乐业,艺术学
动画,文化、体育和娱乐业,其他
环境设计,文化、体育和娱乐业,艺术学
视觉传达设计,文化、体育和娱乐业,艺术学
数字媒体艺术,信息传输、软件和信息技术服务业,艺术学
表演,文化、体育和娱乐业,其他
传播学,文化、体育和娱乐业,人文社科
广告学,文化、体育和娱乐业,人文社科
摄影,文化、体育和娱乐业,艺术学
工商管理,批发和零售业,经管法
国际经济与贸易,金融业,经管法
会计学,金融业,经管法
市场营销,批发和零售业,经管法
信息管理与信息系统,信息传输、软件和信息技术服务业,工学
雕塑,文化、体育和娱乐业,艺术学
公共艺术,文化、体育和娱乐业,艺术学
中国画,其他,其他
绘画,文化、体育和娱乐业,艺术学
设计学,文化、体育和娱乐业,艺术学
艺术,文化、体育和娱乐业,艺术学
材料科学与工程,制造业,工学
纺织材料与纺织品设计,制造业,工学
纺织化学与染整工程,科学研究和技术服务业,工学
国际商务,批发和零售业,其他
企业管理,公共管理、社会保障和社会组织,经管法
设计学（博士）,建筑业,艺术学
美术学,文化、体育和娱乐业,艺术学
艺术学理论,文化、体育和娱乐业,艺术学
中国少数民族艺术,文化、体育和娱乐业,艺术学
纺织科学与工程,建筑业,工学
机械电子工程,信息传输、软件和信息技术服务业,工学
应用化学,科学研究和技术服务业,理学
电子信息工程,信息传输、软件和信息技术服务业,工学
自动化,制造业,其他
商务英语,教育,其他
市场销售,批发和零售业,其他
化学工程与技术,科学研究和技术服务业,工学
戏剧理论研究,文化、体育和娱乐业,艺术学
东方音乐研究,文化、体育和娱乐业,艺术学
当代音乐研究,文化、体育和娱乐业,艺术学
音乐美学,文化、体育和娱乐业,艺术学
电子音乐作曲,信息传输、软件和信息技术服务业,工学
复调,其他,其他
和声,其他,其他
配器,其他,其他
声乐表演艺术研究-美声,文化、体育和娱乐业,艺术学
外国作曲家与作品研究,科学研究和技术服务业,其他
西方音乐史,文化、体育和娱乐业,艺术学
音乐分析,文化、体育和娱乐业,艺术学
中国传统音乐理论,文化、体育和娱乐业,艺术学
中国古代音乐史,文化、体育和娱乐业,艺术学
中国近现代音乐史,文化、体育和娱乐业,艺术学
作曲,其他,其他
视唱练耳,其他,其他
音乐文献编译-日语,教育,艺术学
音乐文献编译-英语,教育,艺术学
作品分析,科学研究和技术服务业,其他
流行音乐研究,文化、体育和娱乐业,艺术学
音乐教育比较研究,教育,人文社科
音乐教育课程与方法,教育,人文社科
音乐教育课程与方法-课程论,教育,人文社科
音乐教育史学与比较,教育,人文社科
音乐美学与批评,文化、体育和娱乐业,艺术学
音乐人类学,文化、体育和娱乐业,艺术学
音乐审美心理学,卫生和社会工作,理学
音乐戏剧研究,文化、体育和娱乐业,艺术学
电子科技电子音乐设计,信息传输、软件和信息技术服务业,工学
电子科技录音艺术,信息传输、软件和信息技术服务业,工学
电子科技数字媒体艺术研究,信息传输、软件和信息技术服务业,工学
电子科技音乐科技,信息传输、软件和信息技术服务业,工学
钢琴表演,文化、体育和娱乐业,其他
歌剧音乐指导,文化、体育和娱乐业,艺术学
乐器修造,其他,其他
民族管弦乐表演笛子,文化、体育和娱乐业,其他
民族管弦乐表演二胡,文化、体育和娱乐业,其他
民族管弦乐表演古琴,文化、体育和娱乐业,其他
民族管弦乐表演古筝,文化、体育和娱乐业,其他
民族管弦乐表演琵琶,文化、体育和娱乐业,其他
民族管弦乐表演唢呐,文化、体育和娱乐业,其他
民族管弦乐表演扬琴,文化、体育和娱乐业,其他
民族管弦乐表演中阮,文化、体育和娱乐业,其他
上海乐队学院,其他,其他
声乐表演美声,文化、体育和娱乐业,其他
声乐表演民声,文化、体育和娱乐业,其他
室内乐,其他,其他
西洋管弦乐表演大管,文化、体育和娱乐业,其他
西洋管弦乐表演大提琴,文化、体育和娱乐业,其他
西洋管弦乐表演单簧管,文化、体育和娱乐业,其他
西洋管弦乐表演低音提琴,文化、体育和娱乐业,其他
西洋管弦乐表演双簧管,文化、体育和娱乐业,其他
西洋管弦乐表演小提琴,文化、体育和娱乐业,其他
西洋管弦乐表演中提琴,文化、体育和娱乐业,其他
现代器乐打击乐,其他,其他
现代器乐电子管风琴,信息传输、软件和信息技术服务业,工学
现代器乐古典吉他,其他,其他
现代器乐爵士乐演奏,其他,其他
现代器乐手风琴,其他,其他
艺术管理,文化、体育和娱乐业,经管法
音乐教学法大课教学法,教育,艺术学
音乐教学法小课教学法,教育,艺术学
音乐教学法综合教学法,教育,艺术学
音乐剧声乐,文化、体育和娱乐业,艺术学
指挥合唱,其他,其他
指挥乐队,其他,其他
作曲民乐作曲,其他,其他
作曲音乐剧作曲,文化、体育和娱乐业,艺术学
钢琴演奏,其他,其他
管弦乐器演奏大管,其他,其他
管弦乐器演奏大号,其他,其他
管弦乐器演奏大提琴,其他,其他
管弦乐器演奏单簧管,其他,其他
管弦乐器演奏低音提琴,其他,其他
管弦乐器演奏-萨克斯管,其他,其他
管弦乐器演奏-双簧管,其他,其他
管弦乐器演奏-小号,其他,其他
管弦乐器演奏-小提琴,其他,其他
管弦乐器演奏-圆号,其他,其他
管弦乐器演奏-长笛,其他,其他
管弦乐器演奏-长号,其他,其他
管弦乐器演奏-中提琴,其他,其他
乐器修造艺术-提琴制作,文化、体育和娱乐业,艺术学
民族音乐作曲-民乐作曲,文化、体育和娱乐业,艺术学
中国乐器演奏-大提琴,其他,其他
中国乐器演奏-低音提琴,其他,其他
中国乐器演奏-笛,其他,其他
中国乐器演奏-二胡,其他,其他
中国乐器演奏-古琴,其他,其他
中国乐器演奏-柳琴,其他,其他
中国乐器演奏-琵琶,其他,其他
中国乐器演奏-笙,其他,其他
中国乐器演奏-唢呐,其他,其他
中国乐器演奏-扬琴,其他,其他
中国乐器演奏-筝,其他,其他
中国乐器演奏-中阮,其他,其他
声乐演唱-美声,其他,其他
声乐演唱-民声,其他,其他
声乐演唱-少数民族声乐演唱,其他,其他
多媒体艺术设计,文化、体育和娱乐业,艺术学
音乐与传媒,文化、体育和娱乐业,艺术学
打击乐演奏-流行打击乐,其他,其他
打击乐演奏-西洋打击乐,其他,其他
打击乐演奏-中国打击乐,其他,其他
现代器乐演奏-电子管风琴,信息传输、软件和信息技术服务业,工学
现代器乐演奏-古典吉他,其他,其他
现代器乐演奏-管风琴,其他,其他
