school_name,graduate_number,employment_number,major,就业率
辽宁工程技术大学,10,10,4,100.0
首钢工学院,2217,2199,28,99.18809201623816
中央音乐学院,1817,1790,74,98.51403412217941
上海建桥学院,16153,15903,115,98.45229988237479
温州职业技术学院,4371,4300,40,98.37565774422329
河北工业职业技术大学,19424,19053,155,98.08999176276771
长沙航空职业技术学院,3561,3492,22,98.06234203875316
浙江交通职业技术学院,3452,3384,29,98.03012746234067
中国政法大学,5313,5208,124,98.02371541501977
珠海城市职业技术学院,3664,3589,29,97.95305676855895
上海电机学院,10220,9985,51,97.70058708414872
上海中侨职业技术大学,6156,6003,46,97.51461988304094
上海交通大学,10154,9876,117,97.26216269450462
上海音乐学院,705,685,124,97.16312056737588
对外经济贸易大学,12314,11934,124,96.91408153321423
四川建筑职业技术学院,6749,6536,67,96.84397688546451
上海理工大学,20267,19618,172,96.79775003700597
上海应用技术大学,14008,13556,239,96.77327241576242
上海立达学院,5298,5118,40,96.60249150622876
亳州学院,11564,11167,36,96.56693185748875
上海工程技术大学,17330,16730,144,96.53779572994806
厦门华厦学院,4445,4289,32,96.4904386951631
泉州师范学院,4662,4495,81,96.41784641784642
湖北工业大学,13495,13007,71,96.38384586884031
上海健康医学院,3400,3270,34,96.17647058823529
北京外国语大学,6955,6677,139,96.00287562904384
北京交通大学,22574,21670,216,95.99539292991938
温州大学,5256,5041,97,95.90943683409436
上海中医药大学,8755,8394,70,95.87664191890349
浙江农林大学,5381,5155,101,95.80003716781268
上海外国语大学,2845,2722,83,95.67662565905096
广东文艺职业学院,1704,1629,21,95.59859154929578
浙江树人学院,10297,9839,80,95.55210255414198
华东师范大学,12025,11481,84,95.47609147609147
四川水利职业技术学院,3801,3625,47,95.3696395685346
上海杉达学院,12809,12203,77,95.26895151846358
大连理工大学城市学院,5774,5500,32,95.25458953931417
河北石油职业技术大学,11946,11376,73,95.22852837769965
北华航天工业学院,835,795,11,95.20958083832335
华东理工大学,21779,20725,154,95.16047568758896
合肥工业大学,32368,30798,215,95.14953040039545
上海海洋大学,12651,12034,13,95.12291518457039
肇庆医学高等专科学校,9342,8882,17,95.07600085634768
四川机电职业技术学院,3509,3336,35,95.06982046166999
上海电力大学,8515,8094,65,95.05578391074575
中国农业大学,10395,9879,174,95.03607503607505
东华大学,5991,5693,170,95.02587214154565
新乡学院,24170,22964,91,95.01034340091023
北京航空航天大学,23419,22250,205,95.00832657244118
北京中医药大学,8513,8080,108,94.91366145894514
厦门大学,24139,22892,397,94.83408591905216
辽宁理工职业大学,3008,2852,30,94.81382978723404
商丘学院,13807,13079,88,94.72731223292533
浙江师范大学,7919,7499,170,94.69630003788357
四川司法警官职业学院,1432,1355,10,94.62290502793296
中国计量大学,5419,5121,76,94.50083041151504
首都师范大学,15439,14577,229,94.41673683528727
辽宁对外经贸学院,11125,10502,115,94.39999999999999
