id,text,overall_anxiety,career_path_confusion,salary_gap,workplace_involution,identity_crisis,sentiment,confidence,key_phrases,explanation
1,c 李嗲Lydia- 2024年09月18日 22:03 来自 微博网页版 逃离上海后，我在四线城市玩互联网（2） 作为一个十年北漂+沪漂的互联网人，在四线城市威海搞新媒体是一种什么样的体验？ 就，因为普遍薪水都是5000块，单休，加一点提成可能能到8000，福利待遇几乎没有。 在这样一个待遇背景下，作为经手过大钱的人来说，你很难说服自己这是在“打工”。 就好像刘 展开c,0.75,0.6,0.8,0.5,0.8,negative,0.9,薪水都是5000块; 单休; 加一点提成可能能到8000; 福利待遇几乎没有; 很难说服自己这是在‘打工’,文本中表达了对薪酬待遇的强烈不满（如‘薪水都是5000块’、‘福利待遇几乎没有’），体现出明显的薪酬落差焦虑。同时，作者提到自己曾是‘经手过大钱的人’，与当前低薪环境形成鲜明对比，导致身份认同危机。此
2,c 任志达- 2024年04月19日 00:06 来自 iPhone 15 Pro Max 给粉丝一封信 2020.4月——2024.4月 时至今日玩互联网整四年了，今天给各位，特别是上班族，分享一些我做自媒体的经验。 首先我认为：玩自媒体的第一关是心态。也就是你对互联网的基本认知。 我是从2020年4月开始玩的抖音，10月份正式开始拍摄短视频。那个时候还没辞职，一边上班一边拍短视频的 展开c,0.1,0.2,0.0,0.1,0.1,neutral,0.85,玩互联网整四年了; 一边上班一边拍短视频; 分享一些我做自媒体的经验,文本内容主要描述了作者从2020年4月开始尝试自媒体的经历，提到在工作期间同时进行创作。整体情绪较为中性，没有明显表达对职业发展方向、薪酬待遇、职场竞争或身份认同的强烈焦虑。但提到‘一边上班一边拍短视
3,c 你的桃子 2024年02月06日 18:19 前年，有个同事在华为干了4年多，也不买房，也不买车，赚了100多万，30岁辞职回老家县城考公务员去了。 临别前，很担忧他的未来，问他：你这风险太大了啊，还没确定能不能考上就辞职这么高薪的工作， 他这么说的：我父母也这么说，我是这么想的，考公务员的年龄限制是35岁，我还有5年的时间，以咱们这 展开c,0.6,0.7,0.4,0.5,0.6,neutral,0.85,风险太大了啊; 还没确定能不能考上就辞职; 考公务员的年龄限制是35岁; 我还有5年的时间,文本中描述了一位同事在华为工作多年后选择辞职回老家考公务员，表现出对职业发展路径的不确定性（如‘风险太大了啊’），以及对自身未来规划的担忧。虽然提到高薪工作，但并未直接表达对薪酬的不满，因此薪酬落差焦
4,c 毛豆好运来 12月12日 16:43 来自 微博视频号 姊妹，等你出社会再久一点会发现：能不能脱下孔乙己的长衫你都得脱 我十几岁的时候就知道学历，面子什么的对我这种出身底层的普通人家来说不是最重要的，重点是我知道自己不是学习的料，我高考完第二天就考虑的是怎么赚上大学的钱，我妈明确说了不会给我提供学费，她只想我早点去打工，我只有自己挣 展开c 播放视频,0.75,0.8,0.6,0.7,0.8,negative,0.9,能不能脱下孔乙己的长衫你都得脱; 我只有自己挣,文本中表达了强烈的对职业发展路径的迷茫（如‘能不能脱下孔乙己的长衫你都得脱’），以及对自己身份和归属感的不确定（如‘我十几岁的时候就知道学历，面子什么的对我这种出身底层的普通人家来说不是最重要的’）。
5,c 小乖乖zyy 12月11日 22:04 来自 HUAWEI Pura 70 Pro #人生是特别特别漫长的长跑# 人生是一场特别漫长的长跑 如果你身处的环境你不满意 一定要尽全力走出这样的环境 如果你无力改变当下的环境 请你一定要改变自己的心态 尽量让自己好过一点 其实在职场中我真的还挺怕遇到负能量的人 我是一个很积极向上的人 但是即便是一个积极向上的人也容易被这样的人吸 展开c,0.35,0.2,0.1,0.4,0.3,neutral,0.85,人生是特别特别漫长的长跑; 如果你身处的环境你不满意 一定要尽全力走出这样的环境; 其实我在职场中我真的还挺怕遇到负能量的人; 我是一个很积极向上的人 但是即便是一个积极向上的人也容易被这样的人吸,文本表达了对职场环境的担忧，尤其是对负能量氛围的敏感和焦虑，体现出一定的职场内卷（workplace_involution）和身份认同（identity_crisis）的焦虑。但整体情绪偏向中性，作者
6,c 百里挑鱼 12月11日 13:07 来自 微博网页版 2025.12.11 鱼的分享日记：我曾经以为自己考上清华是运气，工作了才敢确认自己确实在学习能力上有“两把刷子”。分享给要高考、考研和刚刚开始工作的姐妹们 高考之前我大部分时候都只是在前二三十名徘徊，心态已经“躺平”了，最后高考的时候反而特别轻松，才考出了历史最好的成绩年级第三，就这么进 展开c,0.15,0.1,0.0,0.2,0.1,positive,0.85,我曾经以为自己考上清华是运气; 心态已经‘躺平’了; 最后高考的时候反而特别轻松,文本整体情绪为积极，分享者通过回顾自己的成长经历传递正能量。在发展路径迷茫方面，提到曾对自身能力产生怀疑，但最终取得成功，因此焦虑程度较低（0.1）。薪酬落差方面，文本未提及任何与薪资相关的表达，因此
7,c 糖先生的密室 12月06日 16:03 来自 唐果和他的朋友们超话 对待与自己观念不同的人，我们应该采取何种态度 唐果和他的朋友们超话糖先生的密室的专属圈子超话 在生活的大舞台上，我们置身于多元的世界，周围的人带着各自独特的观念粉墨登场。 这些观念，如同夜空中闪烁的繁星，有的明亮耀眼，有的柔和含蓄，共同构成了一幅绚丽多彩的人生画卷。 然 展开c,0.2,0.1,0.0,0.2,0.3,neutral,0.85,对待与自己观念不同的人，我们应该采取何种态度; 多元的世界; 观念粉墨登场; 绚丽多彩的人生画卷,文本主要探讨了在多元环境中如何与不同观念的人相处，整体语调较为中性，没有直接表达对职业发展、薪酬或职场内卷的焦虑。但提到‘观念粉墨登场’和‘绚丽多彩的人生画卷’可能暗示对身份认同的思考，因此在身份认同
8,c 满满元气一二三 12月04日 20:20 来自 OPPO Reno9 5G 下午朋友打过来的电话里，倦意隔着听筒都溢出来，语气蔫蔫的：“姐，我是真顶不住了！天天加班到后半夜，周末还得抱着电脑待命，感觉整个人都被榨干了，就想换份能准点下班、有点自己时间的工作。” 他年薪五六十万，在外人眼里是光鲜的“高薪精英”，可背后的苦只有自己扛。“结果找了快一个月，彻 展开c,0.75,0.4,0.3,0.9,0.6,negative,0.85,倦意隔着听筒都溢出来; 天天加班到后半夜; 周末还得抱着电脑待命; 感觉整个人都被榨干了; 就想换份能准点下班、有点自己时间的工作,文本中表现出强烈的职场内卷焦虑，如‘天天加班到后半夜’和‘周末还得抱着电脑待命’直接反映了工作压力大、竞争激烈。同时，‘感觉整个人都被榨干了’和‘就想换份能准点下班、有点自己时间的工作’显示出对职业发
9,c 月花花315 12月01日 18:41 来自 微博网页版 我自身有一个很大的问题，就是很容易假设问题会发生，就是我在前一个单位上班的时候，我们一个月就一天休息，还没有固定的排表，每周休息时间都不一样，本来规则就不明确 我是新人，啥也不懂，总担心老板不知道我要休，每次休息前都想跟他提前说一声。但老员工告诉我不用特意说，可我心里一点底都没有 展开c,0.5,0.3,0.1,0.6,0.7,negative,0.85,很容易假设问题会发生; 心里一点底都没有; 担心老板不知道我要休; 规则就不明确,文本中表达了对工作规则不明确的担忧，以及在职场中缺乏安全感和归属感。‘心里一点底都没有’和‘担心老板不知道我要休’体现了身份认同和职场内卷的焦虑。虽然没有直接提到职业发展或薪酬问题，但整体情绪偏向负面
10,c 龚跳跳Sylvia_创业日记 11月28日 11:08 来自 iPhone XS 记录人生中第一次踏上北欧，是9年前。人生勇气值+10，经验值+10。也许命运的齿轮加上加速条，也有它出的一份力。 时间转眼到了2016年12月，我在法国的第一个学期末，西方国家的圣诞即过年传统，让我在开学的第4个月顺利给第一个学期的6-7门课程画了一个句号，整个学期都在适应上课英语、下课法语、以 展开c,0.2,0.1,0.0,0.2,0.3,positive,0.85,人生勇气值+10; 经验值+10; 命运的齿轮加上加速条,文本整体情绪积极，记录了个人成长和突破，如‘人生勇气值+10’、‘经验值+10’等表达显示出自我肯定和成就感。但‘命运的齿轮加上加速条’可能暗示对未来的不确定感，略带焦虑；‘职场内卷’维度因未提及具体
