用户,时间,内容
李嗲Lydia-,2024年09月18日 22:03  来自 微博网页版,"c
李嗲Lydia-
2024年09月18日 22:03  来自 微博网页版
逃离上海后，我在四线城市玩互联网（2）

作为一个十年北漂+沪漂的互联网人，在四线城市威海搞新媒体是一种什么样的体验？

就，因为普遍薪水都是5000块，单休，加一点提成可能能到8000，福利待遇几乎没有。

在这样一个待遇背景下，作为经手过大钱的人来说，你很难说服自己这是在“打工”。

就好像刘 展开c"
任志达-,2024年04月19日 00:06  来自 iPhone 15 Pro Max,"c
任志达-
2024年04月19日 00:06  来自 iPhone 15 Pro Max
给粉丝一封信
2020.4月——2024.4月
时至今日玩互联网整四年了，今天给各位，特别是上班族，分享一些我做自媒体的经验。
首先我认为：玩自媒体的第一关是心态。也就是你对互联网的基本认知。
我是从2020年4月开始玩的抖音，10月份正式开始拍摄短视频。那个时候还没辞职，一边上班一边拍短视频的 展开c"
你的桃子,2024年02月06日 18:19,"c
你的桃子
2024年02月06日 18:19
前年，有个同事在华为干了4年多，也不买房，也不买车，赚了100多万，30岁辞职回老家县城考公务员去了。
临别前，很担忧他的未来，问他：你这风险太大了啊，还没确定能不能考上就辞职这么高薪的工作，
他这么说的：我父母也这么说，我是这么想的，考公务员的年龄限制是35岁，我还有5年的时间，以咱们这 展开c"
毛豆好运来,12月12日 16:43  来自 微博视频号,"c
毛豆好运来
12月12日 16:43  来自 微博视频号
姊妹，等你出社会再久一点会发现：能不能脱下孔乙己的长衫你都得脱

我十几岁的时候就知道学历，面子什么的对我这种出身底层的普通人家来说不是最重要的，重点是我知道自己不是学习的料，我高考完第二天就考虑的是怎么赚上大学的钱，我妈明确说了不会给我提供学费，她只想我早点去打工，我只有自己挣

展开c












播放视频"
小乖乖zyy,12月11日 22:04  来自 HUAWEI Pura 70 Pro,"c
小乖乖zyy
12月11日 22:04  来自 HUAWEI Pura 70 Pro
#人生是特别特别漫长的长跑#
人生是一场特别漫长的长跑
如果你身处的环境你不满意
一定要尽全力走出这样的环境
如果你无力改变当下的环境
请你一定要改变自己的心态
尽量让自己好过一点

其实在职场中我真的还挺怕遇到负能量的人
我是一个很积极向上的人
但是即便是一个积极向上的人也容易被这样的人吸 展开c"
百里挑鱼,12月11日 13:07  来自 微博网页版,"c
百里挑鱼
12月11日 13:07  来自 微博网页版
2025.12.11 鱼的分享日记：我曾经以为自己考上清华是运气，工作了才敢确认自己确实在学习能力上有“两把刷子”。分享给要高考、考研和刚刚开始工作的姐妹们

高考之前我大部分时候都只是在前二三十名徘徊，心态已经“躺平”了，最后高考的时候反而特别轻松，才考出了历史最好的成绩年级第三，就这么进 展开c"
糖先生的密室,12月06日 16:03  来自 唐果和他的朋友们超话,"c
糖先生的密室
12月06日 16:03  来自 唐果和他的朋友们超话
对待与自己观念不同的人，我们应该采取何种态度

唐果和他的朋友们超话糖先生的密室的专属圈子超话

在生活的大舞台上，我们置身于多元的世界，周围的人带着各自独特的观念粉墨登场。

这些观念，如同夜空中闪烁的繁星，有的明亮耀眼，有的柔和含蓄，共同构成了一幅绚丽多彩的人生画卷。

然 展开c"
满满元气一二三,12月04日 20:20  来自 OPPO Reno9 5G,"c
满满元气一二三
12月04日 20:20  来自 OPPO Reno9 5G
下午朋友打过来的电话里，倦意隔着听筒都溢出来，语气蔫蔫的：“姐，我是真顶不住了！天天加班到后半夜，周末还得抱着电脑待命，感觉整个人都被榨干了，就想换份能准点下班、有点自己时间的工作。”

他年薪五六十万，在外人眼里是光鲜的“高薪精英”，可背后的苦只有自己扛。“结果找了快一个月，彻 展开c"
月花花315,12月01日 18:41  来自 微博网页版,"c
月花花315
12月01日 18:41  来自 微博网页版
我自身有一个很大的问题，就是很容易假设问题会发生，就是我在前一个单位上班的时候，我们一个月就一天休息，还没有固定的排表，每周休息时间都不一样，本来规则就不明确
我是新人，啥也不懂，总担心老板不知道我要休，每次休息前都想跟他提前说一声。但老员工告诉我不用特意说，可我心里一点底都没有 展开c"
龚跳跳Sylvia_创业日记,11月28日 11:08  来自 iPhone XS,"c
龚跳跳Sylvia_创业日记
11月28日 11:08  来自 iPhone XS
记录人生中第一次踏上北欧，是9年前。人生勇气值+10，经验值+10。也许命运的齿轮加上加速条，也有它出的一份力。

时间转眼到了2016年12月，我在法国的第一个学期末，西方国家的圣诞即过年传统，让我在开学的第4个月顺利给第一个学期的6-7门课程画了一个句号，整个学期都在适应上课英语、下课法语、以 展开c"
搞钱女孩播客,11月27日 14:54 转赞人数超过40  来自 微博音频,"c
搞钱女孩播客
11月27日 14:54 转赞人数超过40  来自 微博音频
#微博声浪计划# #听见微博# “生活是字，键盘是笔，女王是我！” 试麦时大声喊出的这句话，恰如喜剧演员李逗逗的人生写照。
七年前，她是格子间里一边翻译邮件一边流泪的“职场牛马”，七年后，她是《喜人奇妙夜》舞台上创演俱佳的“孤独女王”。从一喜被淘汰到二喜靠独角戏自成一派，从喜一“冷冰凝爱 展开c







































播放视频"
彪吵吵,11月26日 21:04  来自 HUAWEI Pura 70 Pro,"c
彪吵吵
11月26日 21:04  来自 HUAWEI Pura 70 Pro
#涨知识﻿ ﻿# 女性称呼避坑指南，一开口就赢了90%的人

“大姐”“阿姨”“老师”……你随口一句，她瞬间下头。

地铁里，一位西装男对陌生女孩说：“大姐，请问……”
女孩当场黑脸：“你才是大姐，你全家都大姐。”
别笑，这可能是很多人经历过的社死现场。
称呼，是成本最低的善良，也是最高级的体 展开c"
阿汝娜老师,11月17日 18:00  来自 微博网页版,"c
阿汝娜老师
11月17日 18:00  来自 微博网页版
怎么修“财路”？

很多人以为按部就班：好好读书、找个安稳工作、买套房……钱就自然来了。

可现实往往啪啪打脸——这老套路，怎么就失灵了？

今天聊聊我的理解：金钱，到底该怎么玩？

金钱法则：探寻财富流动密码
在我看来，金钱有着它独特的流动法则。

过去，很多人认为好好读书、找个好工作， 展开c"
语嫣往事,11月13日 23:34  来自 微博视频号,"c
语嫣往事
11月13日 23:34  来自 微博视频号
#辛巴徒弟蛋蛋称长期遭职场暴力#
伽柏澄清自己不是蛋蛋的老板，蛋蛋直言如果你们是我经历了所有的一切，你们有可能在三年前就已经永远消失了，消失在这个互联网了！

伽柏：今天我没有在你身边，所以我今天的助播费可能没有了，我每给蛋蛋助播，一天给我两千块钱呢，这两天都说我是蛋蛋的老板，大家千 展开c






播放视频"
小贝的挖宝手册,11月12日 19:35  来自 微博网页版,"c
小贝的挖宝手册
11月12日 19:35  来自 微博网页版
防止在工作中奴性太强的小tips：

1、工作要留痕迹 所有任务通过邮件、文档或群里确认，避免口头指令。这样出了问题有凭证，不会白背锅。
2、拒绝时不用解释太多 “不合适”“我没法接这个活”就够了，不需要写小作文。解释越多，越显得理亏。
3、按时上下班，做好本职工作，工作只是生活的一种手段， 展开c"
多玛尼尼,11月10日 15:27  来自 iPhone客户端,"c
多玛尼尼
11月10日 15:27  来自 iPhone客户端
好烦好烦好烦心情差到极点！！本次体验非常不好，深刻体会到了有人在的地方就有江湖，本来我以为大家乐乐呵呵一起追就好，毕竟也没几个人了结果完全不是这样，出来玩是为了高兴的，结果还搞拉帮结派这套妈呀，简直堪比职场，是我见识太少，我果然不属于饭圈。再也不想去了，心好累。我确实 展开c"
糖先生的密室,11月08日 17:43  来自 唐果和他的朋友们超话,"c
糖先生的密室
11月08日 17:43  来自 唐果和他的朋友们超话
什么是自杀式单身，有什么危害

唐果和他的朋友们超话糖先生的密室的专属圈子超话

“明明很想谈恋爱，却从不主动认识新朋友；

看到喜欢的人，只会默默观望，连上前搭话的勇气都没有；

手机里社交软件下载了又卸载，对话框永远停留在“你好”之后；

嘴上喊着“甜甜的恋爱什么时候轮到我” 展开c"
广屿Ocean,11月08日 12:34  来自 读书超话,"c
广屿Ocean
11月08日 12:34  来自 读书超话
听一位互联网行业前辈讲了段人生故事

之前机缘巧合有机会和一位互联网行业的前辈进行了一次深度的聊天，对我的触动很大。本来以这位前辈的资历我是很难有机会和她单独进行沟通的（国内前4大厂的创始工号员工，某部门负责人，后来自己做了投资公司创业）

我想先分享这次机缘的由来，也许对大家也有启 展开c"
小殷爱睡觉-,11月01日 01:34  来自 iPhone客户端,"c
小殷爱睡觉-
11月01日 01:34  来自 iPhone客户端
牛马篇EP08
今晚或者讲是此刻，感觉是入职以来前所未有的身心最放松的状态，即使还有篇双周报没开始写。很喜欢在一个阶段结束的时候整理相册，发发微博，当然这次也不例外。

是一段持续了很久的紧张状态且达到顶峰：每晚11甚至12点出公司，手头n个项目不同节点同时推进。即使是上周五休假在天津玩的 展开c"
-礼卿-,10月28日 12:50  来自 一加 Ace 3 全能王牌,"c
-礼卿-
10月28日 12:50  来自 一加 Ace 3 全能王牌
你好，我是礼卿，一名中高考数学老师，也是一位用数学思维做教育规划与个人成长的教练。

我的专业度受到过行业认可，我曾受大理一中青睐，与多位老师共创教学体系（有浙派名师、大学教授、机构校长、教辅编写者、其他一线教师等，具体形成见图3），形成“四步解题法”

对应试提分也有自己的体系，帮 展开c"
王盐Charles,10月28日 00:00  来自 微博网页版,"c
王盐Charles
10月28日 00:00  来自 微博网页版
艺术生怎么找互联网的工作？

网友提问：我是考研二战考生，是一本类艺术生，编导专业。因为之前心态不好，两次都失败了。然后今年出来找工作，部门领导通过了，但是 HR 挂了我。

现在好沮丧，空档了一年 4 个月，就找工作这么费劲了吗？

往届生什么时候应聘合适？现在入 MCN 机构靠谱吗？（MCN 现在 展开c"
