id,text,overall_anxiety,career_path_confusion,salary_gap,workplace_involution,identity_crisis,sentiment,confidence,key_phrases,explanation
1,c 杨书喻 2023年06月10日 12:52 来自 iPhone客户端 体制内新人设：踏实肯干但体弱多病,0.3,0.2,0.1,0.4,0.3,neutral,0.85,体制内新人设; 踏实肯干; 体弱多病,文本中提到‘体制内新人设：踏实肯干但体弱多病’，表明该员工在职场中可能面临一定的工作压力（如‘体弱多病’暗示身体状况不佳，可能影响工作表现），从而产生对职场竞争和自身角色的焦虑。然而，文本并未明确提及
2,c 紫去独闲 05月14日 13:03 来自 iPhone 16 Pro Max ————————前情——————— 【小紫，关注很久了第一次留言，希望被看到。 我是十八线小城的体制内，毕业后在一家公司做采购，后面考试回到了家里。原本以为会和大部分体制内一样，到年龄了和一个差不多也在体制内的结婚。但是后面经朋友介绍认识了现在的男朋友，他在外省央企，工作也是非常 展开c,0.3,0.4,0.2,0.1,0.3,negative,0.85,体制内; 十八线小城; 和一个差不多也在体制内的结婚; 经朋友介绍认识了现在的男朋友; 外省央企,文本中提到用户来自十八线小城，目前在体制内工作，但对未来的婚姻和职业发展存在不确定性。虽然没有直接提到薪酬或职场竞争问题，但提及了与体制内人员结婚的预期，暗示可能对自身职业路径和身份认同感到迷茫。整体
3,c 药学长plus 02月05日 17:24 来自 iPhone 11 你可能觉得我在胡说八道，但事实就是如此，医院里的医生、体制内的公务员，本质上都是“穷人”。一年十几万的收入，真的能让你过上理想的生活吗？差的太远了。体制内有很多人，每天按部就班地上班、下班，周末吃喝玩乐，觉得自己已经站在了人生的巅峰。但实际上，这种“迷之自信”不过是自我安慰罢了。 展开c,0.75,0.6,0.8,0.5,0.7,negative,0.9,一年十几万的收入，真的能让你过上理想的生活吗？差的太远了; 这种‘迷之自信’不过是自我安慰罢了,文本中表达了对职业发展和收入水平的强烈不满，尤其是提到医生和公务员作为‘穷人’，反映出明显的薪酬落差焦虑（0.8）。同时，作者质疑体制内工作的意义，暗示对职业路径的迷茫（0.6）和身份认同的困惑（0.
4,c -阿说- 31分钟前 转赞人数超过10 今天又来上体大，但这次来的是徐汇校区，跟华东理工大学离得非常近！这边真的比杨浦校区本部小太多了，基本上以体院的学生为主，建筑主要是各个项目的训练房。宿舍楼不大，大概两栋左右，没仔细看。平时上课的地方在旁边的一个校区，也不大，初中到高中、大学大专都在那层建筑里上课。 这次的向导是 展开c,0.1,0.1,0.0,0.0,0.1,neutral,0.85,比杨浦校区本部小太多了; 建筑主要是各个项目的训练房,文本内容主要描述了对徐汇校区的环境和设施的观察，没有直接表达对职业发展、薪酬、竞争或身份认同的焦虑。虽然提到‘比杨浦校区本部小太多了’可能暗示对环境或资源的不满，但整体语气较为中性，缺乏明确的焦虑情绪
5,c 独望渤海风 今天22:36 来自 iPhone客户端 今天是平平无奇的，12月14号，但发生的事情还挺难忘的，我觉得值得写一下。 今天在全家的努力下，我又换了一辆新的车，一个很喜欢的suv。爸爸的旧车走了报废，发挥了最后的预热，他也顺理成章的继承了我那个刚开了两年的轿车。子没承父业，父承子车了。 今天的时间还是比较紧凑的吧，他早上来涿州接的 展开c,0.1,0.1,0.1,0.1,0.1,neutral,0.85,平平无奇的; 值得写一下; 时间还是比较紧凑的,文本内容主要描述了一天的生活事件，包括换车和家庭互动，整体情绪较为中性。文中未提及与职业发展、薪酬、职场竞争或身份认同相关的焦虑内容，因此四个维度的焦虑指数均较低。虽然提到‘时间比较紧凑’，但并未表现
6,c 小何吨吨 今天22:25 来自 iPhone客户端 冬天最不喜欢套被子，一层，两层，麻烦。 想买家里的同款被子，和妈妈感慨，现在真想通了，被子就应该买床好的，想换蚕丝被。 我妈：等你结婚，送给你。 现在听这话就好躁，无稽之谈，嗤之以鼻，以前期待结婚妈妈会送我一床好被子啦，大几千呢，现在“我不结婚，这辈子就不能盖床好被子啦！” 得一直 展开c,0.2,0.1,0.1,0.2,0.2,negative,0.85,现在听这话就好躁; 我不结婚，这辈子就不能盖床好被子啦！,文本中主要表达的是对婚姻与物质条件之间关系的不满和焦虑。虽然没有直接提到职业发展、薪酬或职场竞争，但通过‘现在听这话就好躁’和‘我不结婚，这辈子就不能盖床好被子啦！’等短语可以看出，作者对自身生活状态
7,c 一罐发呆酒 今天16:56 来自 微博网页版 就这么定了。我要去给自己弄一个好的title，专业不重要，方向只要我感兴趣就行。好消息是，我感兴趣的方向通常都不好找工作，所以一般不会太热门，反而适合捡漏。 title就是我的退路，我总能凭着title找一条重新开始的路。 我得接受这个事实，就是我不属于金融街，也不属于体制内。我或许能适应，但我 展开c,0.6,0.7,0.4,0.3,0.6,negative,0.85,发展路径迷茫; 不属于自己; 退路; 捡漏; 重新开始,文本中表现出明显的对职业发展方向的不确定（如“我不属于金融街，也不属于体制内”），体现出较高的发展路径迷茫焦虑。同时，“title就是我的退路”表明作者对自身在职场中的角色和归属感存在不确定性，因此身
8,c 超幸运的菠萝蜜 今天13:56 来自 vivo X200 Pro #不要在有毒环境证明自己# 来说说为什么我在2019年考编上岸后，2025年又 再次考编吧 现在的单位，科室里已经没有我的位置了，脱离大夜班也基本无望，夜班要上到52岁，这是压死我的最后一根稻草 除了高年资老师不上夜班，只有责任组长和带教老师有机会早日脱离夜班，而这两个位置 展开c,0.85,0.9,0.3,0.7,0.8,negative,0.9,没有我的位置; 脱离大夜班也基本无望; 压死我的最后一根稻草; 只有责任组长和带教老师有机会早日脱离夜班,文本中表达了强烈的职场发展焦虑，尤其是对职业路径的迷茫（如‘没有我的位置’、‘脱离大夜班也基本无望’），以及对工作压力和竞争的不满（如‘夜班要上到52岁’）。虽然未直接提到薪酬问题，但隐含了对现状的不
9,c 真理和我都困了_ 今天00:12 来自 iPhone客户端 有时候觉得我爸根本就不爱我，也不能说不爱，只是没那么爱。今天晚上我爸给我打电话说明天回家给我做午饭，我说我要睡觉我不吃，接着他又说那给我带早餐，我说我不吃我要睡觉。然后莫名其妙的问我这个月业绩完成了没有，我说没有。他就说那你一天下了班回家不多琢磨，不要一天回家就知道玩游戏浪费时间 展开c,0.4,0.2,0.1,0.6,0.3,negative,0.85,我爸根本就不爱我; 不要一天回家就知道玩游戏浪费时间; 这个月业绩完成了没有,文本中主要表达了对工作表现的不满和家庭关系的困扰，其中职场内卷（如被父亲批评工作态度）和身份认同（如被质疑是否努力）是主要焦虑来源。发展路径迷茫和薪酬落差在文本中体现较弱，因此评分较低。整体情绪偏向负
10,c 赵老师很努力 12月13日 09:21 想离开县城，想去大城市，想考研，路怎么走？ 网友来信： 赵老师，您好，我是考教资面试的时候认识您的，很佩服您教的结构化，感觉您情商很高，所以想向您求助。 我是上半年毕业的二本师范生，我大四那年觉得考研好难考感觉考不上，心里有点排斥考研（我高考考了两次，心里不太喜欢再经历一次像高考 展开c,0.65,0.8,0.3,0.4,0.6,negative,0.85,想离开县城，想去大城市; 考研好难考感觉考不上; 心里有点排斥考研; 高考考了两次，心里不太喜欢再经历一次像高考,文本中表现出明显的对职业发展方向的迷茫（如‘想离开县城，想去大城市’、‘想考研’），以及对考研的恐惧和排斥，体现出较高的发展路径迷茫焦虑。虽然提到薪酬或职场竞争的内容较少，但整体情绪偏向负面，显示出对
