id,text,overall_anxiety,career_path_confusion,salary_gap,workplace_involution,identity_crisis,sentiment,confidence,key_phrases,explanation
1,c 社畜茶水间 01月03日 21:17 来自 2号咖啡机iPhone 11 投稿： 茶茶好，给大家递苹果美式。关注茶茶有段时间了，留过几次评论，这是第一次投稿。原来没投，是我还没毕业（哈哈）。 坐标首都，家在北京。我入职了一家央国企的金融机构，每天非常忙，平均加班2个小时。目前压力很大，主要有以下问题： 1⃣️作为校招生，感觉自己承担了和工龄好几 展开c,0.65,0.4,0.3,0.8,0.5,negative,0.85,每天非常忙; 平均加班2个小时; 压力很大; 工龄好几,文本中提到‘每天非常忙，平均加班2个小时’和‘压力很大’，表明职场内卷程度较高，因此 workplace_involution 得分较高。同时，用户提到自己是校招生，感觉承担了与工龄较长的同事相似的工
2,"c 墨守lydialinmo 2024年05月23日 03:52 来自 写字楼里共勉一起长跑超话 写字楼里共勉一起长跑超话#耕自己的地,你本是地主,不要去别人地里当长工# 我个人的进步有很大的因素是时代，我是85后，毕业于2008年，虽然遇到了金融危机，但是主战场不在本土，所以影响有但不大，历经了十多年的经济高速发展时期，虽然比不上2000-20008年的黄金时代，但也比现在好得多，还是有 展开...",0.3,0.2,0.1,0.4,0.3,neutral,0.85,个人的进步有很大的因素是时代; 虽然比不上2000-2008年的黄金时代; 但也比现在好得多; 不要去别人地里当长工,文本中提到作者回顾自身职业发展，提及了时代背景对个人进步的影响，并对比了过去与现在的经济环境。这表明作者对当前职场环境有一定反思，但并未直接表达强烈的焦虑情绪。在‘职场内卷’维度上，作者提到‘不要去别
3,c 牯岭街少女 06月16日 23:30 来自 iPhone客户端 非常理解《未知的首尔》主角害怕辞职的心态。 「害怕放手，一旦离开，就得重新开始。」,0.4,0.3,0.1,0.2,0.5,negative,0.85,害怕放手，一旦离开，就得重新开始,文本中提到‘害怕放手，一旦离开，就得重新开始’，这反映了对职业变动的不确定性与恐惧，体现出身份认同（即对自身在职场中的角色和归属感）的焦虑。虽然没有直接提及职业发展路径、薪酬或内卷的具体内容，但‘害怕
4,c 阿汝娜老师 11月21日 18:00 来自 微博网页版 高敏感的人，往往是顶级销冠 在生活中，不少人会因自身的性格特质，对职业选择感到迷茫。 就像高敏感的人，常困感自己能否踏入销售领域。 其实，高敏感并非我们的阻碍，反而是优势，更是很多顶级销售背后的秘密，且听我慢慢道来！ 高敏感：销售的独特优势 高敏感的人，恰似细腻的情感捕捉器，能精准理 展开c,0.2,0.3,0.1,0.2,0.2,positive,0.85,对职业选择感到迷茫; 常困感自己能否踏入销售领域; 高敏感并非我们的阻碍,文本主要围绕高敏感人群在职场中的优势展开，尤其是销售领域。虽然提到‘对职业选择感到迷茫’和‘常困感自己能否踏入销售领域’，但整体语气积极，强调高敏感是优势而非障碍。因此，焦虑情绪较低，且以正面引导为主
5,c ditto_9 11月18日 11:30 来自 HUAWEI Mate30 Pro 5G 没事就爱写点微博记录一下俺的工作 已经适应加班节奏了，而且适应和客户闲聊乱聊水时长，工作有点步入正轨，来，来聊天，就是爱聊天！我感觉下一步就是源源不断的开单，然后我要多去学产品，学金融 虽然师傅不在第一天天塌了，但是第二天又变成勇敢自洽的勇敢🤌，对pua说不，太棒了，我就是最棒的 我 展开c,0.2,0.1,0.1,0.3,0.2,positive,0.85,已经适应加班节奏了; 工作有点步入正轨; 对pua说不，太棒了，我就是最棒的,文本整体情绪积极，表达了对工作的适应和信心。虽然提到‘适应加班节奏’和‘开单’等可能暗示一定压力，但并未表现出明显的焦虑情绪。‘对pua说不’表明自我认同感较强，因此身份认同焦虑较低。薪酬落差和职业发
6,c 小汪一定得噶 06月27日 18:52 来自 今天你从银行辞职了吗超话 今天你从银行辞职了吗超话 22年底我提交了辞职报告，在银行待了五个月便打算毅然决然地离开，当时发在超话里的辞职信，是我阅读量最高的一篇微博，也收到了很多同行uu的祝福。 辞职以后，我gap了近一年，申请了国外的研究生，重刷了校招生的身份，但也面临着更加恶劣的就业环境。无数次的笔面失 展开c,0.75,0.8,0.6,0.7,0.8,negative,0.9,辞职以后，我gap了近一年; 更加恶劣的就业环境; 无数次的笔面失; 毅然决然地离开,文本中表达了对职业发展路径的迷茫（如gap一年、重新申请研究生），以及对职场竞争和压力的焦虑（如‘更加恶劣的就业环境’）。同时，作者提到辞职后面临身份转变的不确定性（如‘重刷校招生的身份’），显示出身
7,c 王大力如山 06月27日 08:36 来自 微博音频 #用音频给生活转个场# #音频充电站# 大家好，我是就业研究所的所长：王大力。 今天这场直播连麦的回放太燃了，专为30岁以下的金融求职者准备。核心观点就是年轻是你的超能力，别被年龄、学校或市场吓倒！拥抱不确定性，拼一把才有机会： 选香港硕士别纠结美国，Gap year包装成“职场体验”，实习比证书 展开c 播放视频,0.2,0.1,0.0,0.3,0.2,positive,0.85,别被年龄、学校或市场吓倒; 拥抱不确定性，拼一把才有机会,文本整体情绪是积极的，强调年轻人的优势和应对不确定性的勇气。发展路径迷茫（0.1）较低，因为内容鼓励主动选择而非迷茫；薪酬落差（0.0）未提及；职场内卷（0.3）中等，提到“竞争激烈”但未明确表达焦虑
8,c 阿啦小空 06月25日 02:33 来自 iPhone 14 Pro 不想用anniversary这么肉麻的词，但anyway工作一年了，这一年发狠了、忘情了、也麻痹了。成为一名职业产品经理人比我想象的要束手束脚。有时候身处漩涡中会迷茫，会担心自己说的话做的决定是对是错。这和我过往23年的价值观都非常违背——我一直都是一个做一件事只是因为我想做，而不是因为“正确”而 展开c,0.65,0.7,0.3,0.6,0.6,negative,0.85,发狠了、忘情了、也麻痹了; 比我想象的要束手束脚; 身处漩涡中会迷茫; 担心自己说的话做的决定是对是错; 和我过往23年的价值观都非常违背,文本表达了作者在职业发展中的强烈迷茫感（如‘比想象中束手束脚’、‘身处漩涡中会迷茫’），体现出对职业路径不明确的焦虑。虽然没有直接提到薪酬问题，但‘发狠了、忘情了、也麻痹了’暗示可能有较大的工作压力，
9,c 搞笑总管 06月18日 02:34 来自 微博视频号 徐志胜太敢说了！绝不宠着领导反问领导，你现在是人是狗？ L搞笑总管的微博视频 播放视频,0.1,0.1,0.1,0.2,0.1,neutral,0.85,绝不宠着领导反问领导; 你现在是人是狗？,该文本是一条微博视频内容的描述，主要表达的是对职场中某些行为的调侃或讽刺。其中提到的‘绝不宠着领导反问领导’和‘你现在是人是狗？’可能暗示了职场中存在一定的权力不对等或沟通方式的冲突，但整体语境偏向幽
10,c Leonard_Yves_Zoe 05月31日 22:30 来自 iPhone 《31岁的一些人生感悟》 过去这些年，我经历了从学生到打工人、从职场管理者到私人投资者的身份转变，经历一年的Gap Year，我不再焦虑，也不再迷茫，只想纪念一下这段重要的旅程。 我在24.5岁时进入大厂，正值5G爆发期，大厂疯狂招人。那时候的我还很幼稚，沉迷于B站的鬼畜视频，天天看“老八秘制小 展开c,0.2,0.3,0.1,0.2,0.2,neutral,0.85,不再焦虑，也不再迷茫; 身份转变; 纪念一下这段重要的旅程,文本整体情绪较为中性，作者提到经历了多次身份转变，并表示‘不再焦虑，也不再迷茫’，表明当前焦虑程度较低。但文中提及‘从学生到打工人、从职场管理者到私人投资者’等身份变化，可能暗示对职业发展路径的一定不
