用户,时间,内容
社畜茶水间,01月03日 21:17  来自 2号咖啡机iPhone 11,"c
社畜茶水间
01月03日 21:17  来自 2号咖啡机iPhone 11
投稿：
茶茶好，给大家递苹果美式。关注茶茶有段时间了，留过几次评论，这是第一次投稿。原来没投，是我还没毕业（哈哈）。

坐标首都，家在北京。我入职了一家央国企的金融机构，每天非常忙，平均加班2个小时。目前压力很大，主要有以下问题：
1⃣️作为校招生，感觉自己承担了和工龄好几 展开c"
墨守lydialinmo,2024年05月23日 03:52  来自 写字楼里共勉一起长跑超话,"c
墨守lydialinmo
2024年05月23日 03:52  来自 写字楼里共勉一起长跑超话
写字楼里共勉一起长跑超话#耕自己的地,你本是地主,不要去别人地里当长工#

我个人的进步有很大的因素是时代，我是85后，毕业于2008年，虽然遇到了金融危机，但是主战场不在本土，所以影响有但不大，历经了十多年的经济高速发展时期，虽然比不上2000-20008年的黄金时代，但也比现在好得多，还是有 展开c"
牯岭街少女,06月16日 23:30  来自 iPhone客户端,"c
牯岭街少女
06月16日 23:30  来自 iPhone客户端
非常理解《未知的首尔》主角害怕辞职的心态。

「害怕放手，一旦离开，就得重新开始。」"
阿汝娜老师,11月21日 18:00  来自 微博网页版,"c
阿汝娜老师
11月21日 18:00  来自 微博网页版
高敏感的人，往往是顶级销冠

在生活中，不少人会因自身的性格特质，对职业选择感到迷茫。
就像高敏感的人，常困感自己能否踏入销售领域。
其实，高敏感并非我们的阻碍，反而是优势，更是很多顶级销售背后的秘密，且听我慢慢道来！
高敏感：销售的独特优势
高敏感的人，恰似细腻的情感捕捉器，能精准理 展开c"
ditto_9,11月18日 11:30  来自 HUAWEI Mate30 Pro 5G,"c
ditto_9
11月18日 11:30  来自 HUAWEI Mate30 Pro 5G
没事就爱写点微博记录一下俺的工作
已经适应加班节奏了，而且适应和客户闲聊乱聊水时长，工作有点步入正轨，来，来聊天，就是爱聊天！我感觉下一步就是源源不断的开单，然后我要多去学产品，学金融
虽然师傅不在第一天天塌了，但是第二天又变成勇敢自洽的勇敢🤌，对pua说不，太棒了，我就是最棒的
我 展开c"
小汪一定得噶,06月27日 18:52  来自 今天你从银行辞职了吗超话,"c
小汪一定得噶
06月27日 18:52  来自 今天你从银行辞职了吗超话
今天你从银行辞职了吗超话
22年底我提交了辞职报告，在银行待了五个月便打算毅然决然地离开，当时发在超话里的辞职信，是我阅读量最高的一篇微博，也收到了很多同行uu的祝福。
辞职以后，我gap了近一年，申请了国外的研究生，重刷了校招生的身份，但也面临着更加恶劣的就业环境。无数次的笔面失 展开c"
王大力如山,06月27日 08:36  来自 微博音频,"c
王大力如山
06月27日 08:36  来自 微博音频
#用音频给生活转个场# #音频充电站# 大家好，我是就业研究所的所长：王大力。
今天这场直播连麦的回放太燃了，专为30岁以下的金融求职者准备。核心观点就是年轻是你的超能力，别被年龄、学校或市场吓倒！拥抱不确定性，拼一把才有机会：
选香港硕士别纠结美国，Gap year包装成“职场体验”，实习比证书 展开c



































播放视频"
阿啦小空,06月25日 02:33  来自 iPhone 14 Pro,"c
阿啦小空
06月25日 02:33  来自 iPhone 14 Pro
不想用anniversary这么肉麻的词，但anyway工作一年了，这一年发狠了、忘情了、也麻痹了。成为一名职业产品经理人比我想象的要束手束脚。有时候身处漩涡中会迷茫，会担心自己说的话做的决定是对是错。这和我过往23年的价值观都非常违背——我一直都是一个做一件事只是因为我想做，而不是因为“正确”而 展开c"
搞笑总管,06月18日 02:34  来自 微博视频号,"c
搞笑总管
06月18日 02:34  来自 微博视频号
徐志胜太敢说了！绝不宠着领导反问领导，你现在是人是狗？ L搞笑总管的微博视频
播放视频"
Leonard_Yves_Zoe,05月31日 22:30  来自 iPhone,"c
Leonard_Yves_Zoe
05月31日 22:30  来自 iPhone
《31岁的一些人生感悟》

过去这些年，我经历了从学生到打工人、从职场管理者到私人投资者的身份转变，经历一年的Gap Year，我不再焦虑，也不再迷茫，只想纪念一下这段重要的旅程。

我在24.5岁时进入大厂，正值5G爆发期，大厂疯狂招人。那时候的我还很幼稚，沉迷于B站的鬼畜视频，天天看“老八秘制小 展开c"
5Sonnenschein,04月03日 18:25  来自 iPhone客户端,"c
5Sonnenschein
04月03日 18:25  来自 iPhone客户端
考 研 六 战 上岸这种事居然真实地发生在了我身上
蹉跎的这些年啊：
［在校一年+脱产四年+在职一年］

1️⃣2️⃣东 华×2年
（数学水平实在做不到在金融学的圈子卷）

→3️⃣上 财
（跨文科的第一年 稀烂）

→4️⃣上 财
（专业课分数大涨 终于相信自己可以学好新学科 但总分不够院线 且压分 展开c"
思想聚焦,03月19日 21:02 转赞人数超过7500  来自 微博网页版,"c
思想聚焦
03月19日 21:02 转赞人数超过7500  来自 微博网页版
#30岁辞职换赛道有多勇敢#

胡允庭：hr转行成模特；
苏咏豪：工程师转行成咖啡师；
梁田：辞去湖南台主持人工作尝试演话剧、做自媒体，环游世界寻找人生更多的可能性；
任嘉碧：传媒行业转行去金融行业......

看到#半熟恋人# 里这些素人嘉宾的职业小片，再一次被他们跳出自我，勇敢转行的决心感动到 展开c









播放视频"
赵老师很努力,03月17日 11:11,"c
赵老师很努力
03月17日 11:11
凡事发生，皆有利于我
想要强大和不纠缠、纠结于已经发生的事情，要有一种心态：相信凡事发生，皆有利于我。

坚持我永远是幸存者而非受害者的强者心态。同一件事，弱者的关注点永远在于风险和损失，而强者则会往机遇与成长角度去看待。越把自己当弱者，越容易感受到伤害，丧失主观能动性，自此一蹶不 展开c"
小貉同志,03月05日 23:01 转赞人数超过10  来自 🐟🐧劳iPhone 15 Pro,"c
小貉同志
03月05日 23:01 转赞人数超过10  来自 🐟🐧劳iPhone 15 Pro
3.4 面试记录2 旅行会社财务岗
其实最开始完全没有打算再做金融财务相关了，这个公司当时应聘的是旅行企画岗位，hr小妹加了我微信问我是否愿意面试财务BP岗与我十分相符，第一次我是立马拒绝了因为不想做财务了，但是对方hr小妹真的很有礼貌，想了想当个锻炼就答应去面试了，其实没太想去这个岗位.

昨 展开c















播放视频"
都业华,02月17日 20:32 转赞人数超过100  来自 微博视频号,"c
都业华
02月17日 20:32 转赞人数超过100  来自 微博视频号
分享视频 L都业华的微博视频
播放视频"
小透明明TM,02月06日 22:26 转赞人数超过50  来自 微博视频号,"c
小透明明TM
02月06日 22:26 转赞人数超过50  来自 微博视频号
采访过年不回家的人！他们为什么不回家？他们的回答，让我们看到了人间百态，内心受到极大的震撼…
#春节不回家的人##年轻人断亲了吗# #回乡见闻# L小透明明TM的微博视频
播放视频"
