城市_清洗,行业,薪资_月平均K,经验要求,学历要求
上海,半导体/芯片,6.6,经验不限,学历不限
上海,人工智能,75.0,经验不限,学历不限
上海,大数据,20.0,经验不限,学历不限
上海,仪器仪表/工业自动化,14.0,3-5年,高中
上海,文化艺术/娱乐,7.0,经验不限,学历不限
上海,保健/养生,11.5,5-10年,高中
上海,餐饮,6.0,经验不限,学历不限
上海,家政服务,8.0,经验不限,学历不限
上海,批发/零售,6.5,经验不限,学历不限
上海,餐饮,6.0,经验不限,学历不限
上海,美发,7.0,1-3年,高中
上海,互联网,10.5,经验不限,学历不限
上海,房地产中介/租赁,9.5,经验不限,学历不限
上海,房地产中介/租赁,55.0,1-3年,学历不限
上海,互联网,9.0,经验不限,学历不限
上海,咨询,11.5,经验不限,学历不限
上海,休闲/娱乐,3.5,经验不限,学历不限
上海,电子商务,12.5,1年以内,学历不限
上海,互联网金融,18.0,经验不限,学历不限
上海,生活服务(O2O),11.0,经验不限,学历不限
上海,其他专业服务,4.0,1年以内,学历不限
上海,生活服务(O2O),11.5,经验不限,学历不限
上海,餐饮,5.5,经验不限,学历不限
上海,广播/影视,30.5,5-10年,学历不限
上海,批发/零售,6.0,3-5年,学历不限
上海,其他消费品,12.5,经验不限,学历不限
上海,互联网,37.5,3-5年,本科
上海,生活服务(O2O),7.0,经验不限,学历不限
上海,互联网金融,22.5,经验不限,初中及以下
上海,文化艺术/娱乐,4.62,经验不限,学历不限
上海,服装/纺织,8.5,3-5年,学历不限
上海,婚庆/摄影,16.0,1-3年,学历不限
上海,互联网,9.0,经验不限,学历不限
上海,其他行业,,经验不限,学历不限
上海,文化艺术/娱乐,10.5,经验不限,学历不限
上海,同城货运,14.0,经验不限,学历不限
上海,餐饮,7.0,经验不限,学历不限
上海,房地产中介/租赁,10.5,经验不限,学历不限
上海,银行,22.5,经验不限,学历不限
上海,批发/零售,5.5,经验不限,学历不限
上海,批发/零售,7.5,经验不限,学历不限
上海,休闲/娱乐,6.0,经验不限,学历不限
上海,互联网金融,12.5,1-3年,高中
上海,消费电子,5.72,经验不限,学历不限
上海,游戏,18.0,3-5年,学历不限
上海,互联网,8.0,经验不限,学历不限
上海,餐饮,7.0,经验不限,学历不限
上海,美容/美发,10.5,3-5年,学历不限
上海,家政服务,16.0,经验不限,高中
上海,游戏,17.5,经验不限,学历不限
上海,餐饮,7.5,经验不限,学历不限
上海,房地产中介/租赁,26.0,经验不限,高中
上海,培训/辅导机构,7.5,经验不限,学历不限
上海,快递,11.5,经验不限,学历不限
上海,其他生活服务,20.0,经验不限,学历不限
上海,房屋建筑工程,6.5,5-10年,高中
上海,农/林/牧/渔,9.0,经验不限,学历不限
上海,餐饮,5.5,经验不限,学历不限
上海,家政服务,0.54,经验不限,高中
上海,互联网,20.0,1-3年,学历不限
上海,医疗服务,8.5,经验不限,学历不限
上海,餐饮,5.5,经验不限,学历不限
上海,休闲/娱乐,5.5,经验不限,学历不限
上海,生活服务(O2O),22.5,1年以内,学历不限
上海,其他金融业,22.5,经验不限,学历不限
上海,餐饮,0.66,经验不限,学历不限
上海,美容/美发,8.5,经验不限,学历不限
上海,广告/公关/会展,8.0,1-3年,高中
上海,人力资源服务,7.0,经验不限,学历不限
上海,交通/运输,5.0,经验不限,学历不限
上海,餐饮,5.5,经验不限,学历不限
上海,快递,13.0,经验不限,学历不限
上海,休闲/娱乐,7.5,经验不限,学历不限
上海,电子商务,,1-3年,学历不限
上海,批发/零售,5.5,经验不限,学历不限
上海,医疗服务,7.5,1-3年,高中
上海,生活服务(O2O),11.0,经验不限,学历不限
上海,餐饮,6.5,经验不限,学历不限
上海,餐饮,5.5,1-3年,学历不限
上海,企业服务,6.5,经验不限,学历不限
上海,保健/养生,17.5,经验不限,学历不限
上海,咨询,75.0,1年以内,学历不限
上海,家政服务,10.5,经验不限,初中及以下
上海,其他金融业,17.5,经验不限,高中
上海,餐饮,0.54,经验不限,学历不限
