行业,岗位数量,占比%
餐饮,522,11.2
互联网,419,9.0
文化艺术/娱乐,268,5.7
其他生活服务,211,4.5
批发/零售,198,4.2
电子商务,162,3.5
生活服务(O2O),131,2.8
互联网金融,123,2.6
游戏,120,2.6
休闲/娱乐,116,2.5
家政服务,113,2.4
美容,106,2.3
房地产中介/租赁,91,1.9
食品/饮料/烟酒,76,1.6
其他专业服务,74,1.6
服装/纺织,73,1.6
培训/辅导机构,72,1.5
咨询,71,1.5
企业服务,70,1.5
保健/养生,68,1.5
新能源汽车,60,1.3
人力资源服务,56,1.2
即时配送,54,1.2
美容/美发,52,1.1
其他行业,48,1.0
社交网络与媒体,44,0.9
汽车零部件,41,0.9
计算机软件,40,0.9
医疗服务,38,0.8
广播/影视,38,0.8
日化,36,0.8
酒店/民宿,36,0.8
快递,36,0.8
物业管理,36,0.8
医疗健康,35,0.7
装修装饰,34,0.7
法律,33,0.7
珠宝/首饰,33,0.7
医疗器械,30,0.6
电子/半导体/集成电路,26,0.6
汽车后市场,26,0.6
投资/融资,24,0.5
客运服务,23,0.5
原材料及加工/模具,22,0.5
机械设备/机电/重工,22,0.5
广告/公关/会展,22,0.5
运动/健身,22,0.5
汽车经销商,21,0.4
进出口贸易,21,0.4
人工智能,19,0.4
智能硬件/消费电子,19,0.4
新零售,19,0.4
其他金融业,18,0.4
体育,18,0.4
汽车研发/制造,18,0.4
4S店/后市场,18,0.4
医美服务,18,0.4
银行,18,0.4
物流/仓储,17,0.4
同城货运,16,0.3
通信/网络设备,16,0.3
装卸搬运和仓储业,15,0.3
智能硬件,15,0.3
广告营销,15,0.3
交通/运输,15,0.3
半导体/芯片,14,0.3
建筑设计,13,0.3
美发,13,0.3
其他制造业,13,0.3
计算机硬件,11,0.2
计算机/通信/其他电子设备,11,0.2
电子/硬件开发,11,0.2
在线教育,10,0.2
印刷/包装/造纸,10,0.2
通用设备,9,0.2
婚庆/摄影,9,0.2
其他消费品,9,0.2
基金,9,0.2
金属制品,9,0.2
计算机服务,8,0.2
大数据,7,0.1
仪器仪表/工业自动化,7,0.1
公路物流,7,0.1
建筑材料,7,0.1
宠物服务,7,0.1
保险,6,0.1
回收/维修,6,0.1
生物/制药,6,0.1
旅游/景区,6,0.1
移动互联网,6,0.1
跨境物流,5,0.1
房地产开发经营,5,0.1
仪器仪表,4,0.1
农/林/牧/渔,4,0.1
房屋建筑工程,4,0.1
家具/家居,4,0.1
财务/审计/税务,4,0.1
环保,4,0.1
运营商/增值服务,4,0.1
电气机械/器材,3,0.1
医药批发零售,3,0.1
其他新能源,3,0.1
职业培训,3,0.1
自动化设备,3,0.1
工程施工,3,0.1
家具/家电/家居,3,0.1
消费电子,2,0.0
办公用品及设备,2,0.0
光伏,2,0.0
旅游,2,0.0
化工,2,0.0
学校/学历教育,2,0.0
橡胶/塑料制品,2,0.0
政府/公共事业,2,0.0
家用电器,1,0.0
行业,1,0.0
租赁/拍卖/典当/担保,1,0.0
玩具/礼品,1,0.0
新闻/出版,1,0.0
物联网,1,0.0
新材料,1,0.0
翻译,1,0.0
机电工程,1,0.0
信息安全,1,0.0
汽车智能网联,1,0.0
建筑工程咨询服务,1,0.0
电力/热力/燃气/水利,1,0.0
动力电池,1,0.0
学前教育,1,0.0
