行业,count,mean,median,std,min,max
4S店/后市场,18,7.2,5.5,2.4,5.5,12.5
互联网,411,14.5,9.5,16.3,0.8,87.5
互联网金融,123,15.0,12.5,7.6,3.2,41.5
交通/运输,15,7.9,8.0,1.8,5.0,10.5
人力资源服务,55,12.7,9.5,12.7,4.5,80.0
人工智能,19,30.4,16.5,26.7,5.5,80.0
仪器仪表,4,10.0,10.2,1.8,8.0,11.5
仪器仪表/工业自动化,7,10.5,7.0,9.3,2.3,30.0
企业服务,70,6.0,6.5,4.4,0.5,22.5
休闲/娱乐,116,11.3,7.5,10.1,0.5,79.0
体育,18,10.4,9.5,3.8,4.0,16.5
保健/养生,67,13.3,10.5,7.2,4.5,40.0
保险,5,9.7,10.5,1.2,8.0,10.5
光伏,2,4.0,4.0,0.0,4.0,4.0
公路物流,7,9.0,7.5,4.1,6.5,18.0
其他专业服务,74,10.4,10.2,4.9,4.0,30.0
其他制造业,13,9.3,7.5,5.1,5.0,20.0
其他新能源,3,7.3,7.5,0.8,6.5,8.0
其他消费品,9,9.4,10.5,3.2,3.5,12.5
其他生活服务,206,10.6,9.5,5.5,1.1,30.0
其他行业,44,9.4,7.5,7.0,0.5,37.5
其他金融业,18,15.1,14.5,5.1,7.5,22.5
农/林/牧/渔,4,7.0,7.0,2.6,4.5,9.5
办公用品及设备,2,11.5,11.5,0.0,11.5,11.5
化工,2,7.5,7.5,4.2,4.5,10.5
医疗健康,34,14.1,10.0,9.4,1.0,42.5
医疗器械,30,14.6,9.0,7.8,2.5,30.0
医疗服务,38,10.7,8.0,9.3,2.0,55.0
医美服务,18,18.9,22.5,5.2,10.5,22.5
医药批发零售,3,6.2,6.5,0.6,5.5,6.5
半导体/芯片,14,14.7,6.8,26.2,5.5,105.0
印刷/包装/造纸,10,6.3,6.5,1.1,4.8,7.5
即时配送,41,9.8,10.0,3.1,1.0,15.5
原材料及加工/模具,22,7.9,8.8,1.9,4.5,10.0
同城货运,16,10.3,9.5,1.8,7.5,14.0
咨询,69,13.7,10.5,11.1,0.5,75.0
回收/维修,6,8.0,7.0,1.6,7.0,10.5
在线教育,10,16.5,17.5,8.0,3.8,30.0
培训/辅导机构,59,13.7,10.5,8.3,0.5,30.0
基金,9,42.1,45.0,19.8,11.6,65.0
大数据,6,9.8,7.2,5.2,7.0,20.0
婚庆/摄影,9,9.8,10.5,4.6,2.4,16.0
学校/学历教育,2,8.5,8.5,0.0,8.5,8.5
宠物服务,7,5.9,6.5,2.2,3.5,9.0
客运服务,23,10.4,10.5,2.5,5.5,13.5
家具/家居,4,6.6,7.5,4.1,0.8,10.5
家具/家电/家居,3,7.0,7.5,0.9,6.0,7.5
家政服务,113,9.2,8.5,3.2,0.5,23.0
工程施工,3,6.2,6.0,0.8,5.5,7.0
广告/公关/会展,22,8.1,7.0,3.7,5.5,22.5
广告营销,15,9.5,7.5,8.0,0.9,27.5
广播/影视,37,13.4,9.0,9.3,3.5,35.0
建筑材料,7,9.2,9.5,2.3,5.5,12.5
建筑设计,13,3.5,2.4,2.6,0.8,10.0
快递,30,10.0,10.0,2.2,6.0,14.5
房地产中介/租赁,91,12.5,10.0,8.2,3.5,55.0
房地产开发经营,5,8.3,7.5,3.2,4.5,12.5
房屋建筑工程,4,7.2,6.5,2.2,5.5,10.5
批发/零售,196,7.5,6.5,5.4,0.5,39.6
投资/融资,24,19.2,22.5,6.0,6.0,30.0
政府/公共事业,2,5.0,5.0,0.0,5.0,5.0
文化艺术/娱乐,266,10.8,9.5,7.2,0.8,55.0
新能源汽车,60,12.4,11.5,9.2,1.6,60.0
新零售,18,6.3,6.0,3.0,1.1,14.5
旅游,2,5.0,5.0,0.7,4.5,5.5
旅游/景区,6,7.8,9.0,3.0,4.0,11.0
日化,36,8.0,7.2,4.3,0.5,30.0
智能硬件,14,33.2,35.8,16.2,6.5,55.0
智能硬件/消费电子,19,31.4,45.0,18.3,6.0,45.0
服装/纺织,73,9.3,8.5,7.3,0.7,30.0
机械设备/机电/重工,22,6.2,6.6,2.2,0.7,10.0
橡胶/塑料制品,2,5.5,5.5,0.0,5.5,5.5
汽车后市场,25,9.2,9.0,3.8,4.0,18.0
汽车研发/制造,18,11.6,8.0,9.1,6.0,40.0
汽车经销商,21,10.8,12.5,3.2,3.5,17.5
汽车零部件,41,8.1,7.0,3.0,3.5,21.5
法律,32,14.8,11.0,7.2,5.5,25.0
消费电子,2,5.7,5.7,0.0,5.7,5.7
游戏,120,13.7,12.5,8.7,1.0,45.0
物业管理,36,7.4,7.5,4.0,2.5,22.5
物流/仓储,17,14.8,7.5,17.6,1.0,65.0
环保,4,6.1,6.5,1.9,3.5,8.0
珠宝/首饰,33,8.5,7.5,3.8,0.7,22.5
生活服务(O2O),128,9.0,9.5,4.0,0.5,30.0
生物/制药,6,8.5,7.9,2.1,7.0,12.5
电子/半导体/集成电路,26,6.4,5.4,2.8,5.0,19.5
电子/硬件开发,11,9.8,7.4,9.3,5.5,37.5
电子商务,157,9.6,8.0,6.7,0.6,52.5
电气机械/器材,3,7.2,6.5,1.2,6.5,8.5
社交网络与媒体,42,10.8,8.5,9.1,0.5,38.0
移动互联网,6,28.8,11.6,42.6,7.0,115.0
美发,13,7.2,7.0,1.7,3.5,10.5
美容,106,13.9,10.5,9.4,3.5,65.0
美容/美发,51,10.8,9.5,10.9,0.9,82.5
职业培训,3,15.2,17.5,5.9,8.5,19.5
自动化设备,3,7.8,8.0,0.3,7.5,8.0
装修装饰,34,7.7,7.5,5.7,1.3,22.5
装卸搬运和仓储业,15,8.0,7.0,2.6,4.5,13.5
计算机/通信/其他电子设备,11,7.1,7.2,0.5,6.5,7.5
计算机服务,8,8.1,6.5,5.9,3.5,22.0
计算机硬件,11,8.6,6.6,4.8,6.6,22.0
计算机软件,39,12.8,7.5,11.4,1.7,57.5
财务/审计/税务,4,8.9,8.2,1.8,7.5,11.5
跨境物流,5,7.9,8.5,1.5,5.5,9.0
运动/健身,22,10.7,9.5,6.1,2.6,21.0
运营商/增值服务,4,7.6,7.8,0.5,7.0,8.0
进出口贸易,21,10.9,8.5,6.1,2.2,23.5
通信/网络设备,16,8.8,9.0,4.1,3.5,20.0
通用设备,9,6.9,6.8,1.1,6.0,9.5
酒店/民宿,36,6.1,5.5,4.7,3.5,32.5
金属制品,9,7.1,6.5,2.7,3.5,12.0
银行,18,22.1,14.0,16.6,7.0,55.0
食品/饮料/烟酒,76,7.3,6.0,5.0,0.5,27.5
餐饮,512,5.5,5.5,3.1,0.4,40.0
